time,category_name,text_company,text_headline,content_url,bias_label
2024-01-30 23:46:04,정치,파이낸셜뉴스 ,尹 31일 종일 안보 점검한다..“북한 무력·정치 도발 대응”,https://n.news.naver.com/mnews/article/014/0005135777?sid=100,0.9998573233329323
2024-01-30 21:12:43,정치,KBS ,‘순항미사일핵잠수함’ 집착하는 북한…노림수는,https://n.news.naver.com/mnews/article/056/0011652672?sid=100,0.5027803452066923
2024-01-30 21:09:40,정치,KBS ,북한 또 순항미사일 발사…일주일 사이 3번 도발,https://n.news.naver.com/mnews/article/056/0011652670?sid=100,0.999675084357806
2024-01-30 20:56:01,정치,데일리안 ,데일리안 오늘뉴스 종합 윤 대통령 이태원 참사 특별법 거부권 행사…취임 후 5번째 동에 번쩍 서에 번쩍…북한 이틀 만에 순항미사일 또 쐈다 등,https://n.news.naver.com/mnews/article/119/0002794882?sid=100,0.010007502267248381
2024-01-30 20:25:03,정치,JTBC ,북한 또 순항미사일 불화살 발사…일주일 만에 3번 쐈다,https://n.news.naver.com/mnews/article/437/0000377610?sid=100,0.00026522777147156733
2024-01-30 20:15:26,정치,MBC ,북한 이틀 만에 또 순항미사일 발사‥의도는,https://n.news.naver.com/mnews/article/214/0001327847?sid=100,0.00041127289362209723
2024-01-30 19:47:01,정치,MBN ,평양돋보기 북한 겨울나기 스키장 홍보하지만 주민은 추위에,https://n.news.naver.com/mnews/article/057/0001796444?sid=100,0.0029225407196221387
2024-01-30 19:09:48,정치,KBS ,북한 또 순항미사일 발사…일주일 사이 3번 도발,https://n.news.naver.com/mnews/article/056/0011652529?sid=100,0.0008328317907510125
2024-01-30 18:50:03,정치,연합뉴스TV ,북한 평양지방 격차 해소에 총력…총책은 조용원 당 조직비서,https://n.news.naver.com/mnews/article/422/0000642302?sid=100,0.0010669957264815328
2024-01-30 18:47:01,정치,연합뉴스TV ,북한 서해로 순항미사일 발사…일주일 새 세 차례,https://n.news.naver.com/mnews/article/422/0000642301?sid=100,0.0005010209708957089
2024-01-30 17:17:37,정치,채널A ,외화벌이 막힌 북한 리비아·홍콩서도 공관 철수,https://n.news.naver.com/mnews/article/449/0000266959?sid=100,0.9997277233906077
2024-01-30 16:51:01,정치,국민일보 ,북한 이틀 만에 또 순항미사일 발사…성능 ‘개량’ 노린 듯,https://n.news.naver.com/mnews/article/005/0001670709?sid=100,0.00023910549327358187
2024-01-30 16:33:40,정치,KBS ,북한 리비아·홍콩 공관도 폐쇄…44개 운영 중,https://n.news.naver.com/mnews/article/056/0011652439?sid=100,0.9996206806874561
2024-01-30 16:18:45,정치,연합뉴스 ,북한 지방발전 20×10 정책 관철 선전화 제작,https://n.news.naver.com/mnews/article/001/0014477060?sid=100,0.0004332265744311495
2024-01-30 16:18:13,정치,연합뉴스 ,북한 지방발전 20×10 정책 관철 선전화 제작,https://n.news.naver.com/mnews/article/001/0014477054?sid=100,0.0004332265744311495
2024-01-30 16:17:26,정치,YTN ,탈북민정착지원협의회 다음 달 2일 개최...북한이탈주민의 날 제정 협의,https://n.news.naver.com/mnews/article/052/0001992038?sid=100,0.0030957064361841675
2024-01-30 15:57:35,정치,뉴스1 ,북한 리비아·홍콩 재외공관도 폐쇄…9개 철수해 44개만 운영,https://n.news.naver.com/mnews/article/421/0007323698?sid=100,0.999323985157751
2024-01-30 15:53:30,정치,뉴스1 ,그래픽 북한의 올해 미사일 발사 등 무력도발 일지,https://n.news.naver.com/mnews/article/421/0007323688?sid=100,0.9990424050969311
2024-01-30 15:48:19,정치,KBS ,조태열 장관 미 대사 접견…“북한 도발에 깊은 유감 단합 대응”,https://n.news.naver.com/mnews/article/056/0011652425?sid=100,0.9998042933955009
2024-01-30 15:31:06,정치,한국일보 ,북한의 멈추지 않는 위성 욕심… 만리경 4호 출현은 기정사실,https://n.news.naver.com/mnews/article/469/0000783011?sid=100,0.717242997362519
2024-01-30 14:20:24,정치,뉴스1 ,26개국 대학생들 모의 유엔대회서 북한인권 해결 방안 토론,https://n.news.naver.com/mnews/article/421/0007323169?sid=100,0.9996405868183488
2024-01-30 14:20:18,정치,연합뉴스 ,그래픽 최근 북한 순항미사일 발사 일지,https://n.news.naver.com/mnews/article/001/0014476517?sid=100,0.00024897981190717986
2024-01-30 14:18:36,정치,뉴스1 ,외교부 평화클럽 대사 초청…북한인권 개선 관심·지지 당부,https://n.news.naver.com/mnews/article/421/0007323154?sid=100,0.9998543082599335
2024-01-30 14:12:07,정치,디지털타임스 ,與 北 순항미사일 실체적 위협…우리 북한 민주 총풍·북풍 운운,https://n.news.naver.com/mnews/article/029/0002852572?sid=100,0.999785579117392
2024-01-30 14:06:38,정치,MBC ,북한 서해로 순항미사일 발사‥이틀 만에 또 도발,https://n.news.naver.com/mnews/article/214/0001327782?sid=100,0.0013201676477543895
2024-01-30 14:04:55,정치,KBS ,북한 또 순항미사일 발사…일주일 사이 3번 도발,https://n.news.naver.com/mnews/article/056/0011652376?sid=100,0.0008328317907510125
2024-01-30 13:22:04,정치,연합뉴스TV ,합참 북한 서해상으로 순항미사일 수 발 발사,https://n.news.naver.com/mnews/article/422/0000642226?sid=100,0.9996520487005227
2024-01-30 12:07:39,정치,MBC ,북한 서해로 순항미사일 발사‥이틀 만에 또 도발,https://n.news.naver.com/mnews/article/214/0001327752?sid=100,0.0003022890498817523
